Отметка времени,Город обучения.,#VALUE!,Курс,"Названия факультета / 
института",Название направления,Нагрузка в ВУЗе,"Качество получаемого образования 
в общем и целом","Оценка
преподавательского состава",Недостатки,"Уровень изучения 
английского языка","Качество получаемого образования
 по иностранным языкам","Уровень изучения
 программирования","Качество получаемого образования
 по программированию","Распределение
 по профилям",После какого курса и как происходит распределение,Студенческая жизнь,Общага,"Ссылка на студента
 Не стесняйся писать ему",
4/14/2025 17:56:26,Москва / область,МФТИ,1,Физтех-школа биологической и медицинской физики,19.03.01 Биотехнология,"Быть честным - жесть. Пятидневка, но если нагрузка не позволяет ставят в сб пары. На первом семестре 22 пары в неделю, на втором аналогично 22 пары в неделю. Я хоть и учусь на биологическом направлении, но в физтехе - лучшем физмат вузе эвер, поэтому как и других меня очень напрягают с математикой в первую очередь (по ней больше всего дз), ну а также по физике (по ней чуть меньше, но все равно тяжко), особо у нас дз нет, просто приходится очень-очень много учиться самому вне пар, так что времени свободного правда мало)) Держимся, но со скрипом

По поводу последнего вопроса:
1 сессия - 5 экзаменов (математика - 2 устных, 1 письменный, 2 по биологии устных), 6 зачетов (из них 4 на оценку - БЖД, биология, химия, прога, остальные 2 - иняз и физра не на зачет)

2 сессия - 8 экзаменов (математика - 2 устных, 1 письменный, физика - устный и письменный, химия - устный, биология - 2 устных)
7 зачетов (из них 6 на оценку, 1 - физра не на оценку)",4,4,"1. Кол-во разных предметов - так как я биолог в мфти, то у меня помимо биологии дофига самых разных технических предметов (меньше чем в основном, но все равно много)
2. Вытекает из первого пункта - огромнейшая нагрузка, отдыхать почти не получается
3. Неадекватные преподы - они всегда везде будут, превалирует число нормальных, но все равно есть такие себе))
4. Тяжелейшая сессия. Первый курс самый тяжелый - огромное количество экзаменов, по непривычке просто кошмар. Так еще и спрашивают очень жестко","Английский по сути не профильный, но департамент иностранных языков нашего вуза так не считает to be honest. Я имею достаточный уровень английского, поэтому у меня есть возможность учить вместо него китайский 大家好 =) (на 4 курсе и магистратуре есть возможность изучать франц/нем/исп) Кач-вом преподавания английского я не доволен, перманентные контрольные задания, почти не учат((( 
Китайский тоже не сахар, много ненужной лексики, оч странный курс

Оценка 2/5 (ака уд 3 по-физтеховски)",2,"Введение в питончик было на 1 семестре - 0 из 10, да и из 5)))
Но это больше специфика препода, никакущий был, база на прогу нужна всегда, без этого не протянете
Проги много, весь 2 курс, весь 3 курс, по желанию весь 4
в основном питон, можно выбрать bash, R, oracle - больше юзабельно для биологов, очевидно можно взять C++ и прочее, но это не входит в наш учебный план
",1,Да,"После 3 курса есть распределение на кафедры, не профили, на которых будет выполнятся курсовая работа (можно не обяз на какую-то кафедру, есть ты нашел лабу, где тебе круто - то все топ)

Подробнее лучше в лс, здесь я много распинаться не буду","Есть много различных объединений, каждый найдет себе подходящее","Живу, биологи живут 1-2 курс в 8 общежитие, 3-4 курс в 12,13,14 общежитиях - как карта ляжет

8 общежитие - блочного типа, комнаты для 1 курса - на 3 человека, для 2 - на два человека
тараканы очев есть, но с ними успешно борются, если не разводить бардак, то их не будет в вашей комнате
душ общий на первом этаже женский и мужской ( кста в мужском нет дверок/шторок, скажем так для сплочения ахахаха, в женском все есть), душ в принципе нормальный
кухня на каждом этаже - 2 штуки, не пользуюсь ею, сказать ничего не могу, знаю что плиты отстой

коворкинги, боталки и прочее - это просто синоним мфти, тут абсолютно везде есть боталки, в каждом учебном корпусе по неск штук, в общагах (в 8-ке две боталки), так что если вам нужна будет тишина для потока мыслей - вы ее найдете",t.me/mnsdrn Данил,
"45078,86814",Москва / область,НИТУ МИСИС,1,Институт новых материалов,03.03.02 Физика,"Экзаменов в сессию за первый семестр мысль всего два, во втором семестре 3. Нагрузка достаточно большая. Огромный объем материала по математике и аналитической геометрии. Больше всего нагрузка по математике, химия не сильно сложная, тем более если учил в школе, физика начинается со второго семестра, пока что не сильно сложно, но тем кто совсем не знает будет тяжело. Информатика в первом и втором семе ужасная и бесполезная. Непрофильные предметы не сильно нагружают",2,2,"Лекторы, вредность некоторых преподавателей(могут не принимать лабы по физике просто потому что ты больше разбираешься в химии, а не физике. На экзамене по инфе могу поставить незачет потому что ты лысый)",Можно взять только английский. В начале сентября распределяют по уровням знания языка. Пары 3 раза в неделю. Нагрузка зависит от препода,4,"Учат на питоне, но лектор может быть странный и преподавать си шарп, когда в программе питон. В первом семестре дают основы программирования, во втором не нужные знания. Чтобы закрыть лабы нужно сидеть самому с методичкой и разбираться, предам все равно как вы будете их делать. В первом семе экзамен, во втором зачет",1,Да,Разделение идеи с 3 курса. На физике нас делят на 2 трека: физика конденсированного состояния и квантовые технологии,"Есть много различных объединений, каждый найдет себе подходящее","Я живу в Металлург3. У нас все хорошо. Качество предоставляемого жилья очень хорошее. Комната большая на 3 человека. Общежитие блочного типа. Находится рядом с метро. Много магазинов рядом. Новая мебель в комнатах. Кухни современные, все работает.",https://vk.com/ana.i.stasia,
"45078,75979",Москва / область,НИТУ МИСИС,1,Институт новых материалов,22.03.01 Материаловедение и технологии материалов,"В первом семестре было немного сложнее,в среднем было по 3-4 пары в день. Во втором семестре как будто бы легче. Много химии, очень хороший уровень математики, её много и это хорошо.В 1 семестре было 2 экзамена - математика,информатика и несколько зачётов, английский,химия,история. Во втором 3 экзамена- физика,химия, математика. И 3 зачёта- информатика, философия.",5,5,,Английский изучают разговорный на очень хорошем уровне.  4,4,"Меня учили языку Python, учат с нуля,с азов, Во втором семестре добавляются более сложные вещи,библиотеки,которые нам понадобятся в дальнейшей работе",4,Да,После 3-го Курска идёт распределение по кафедрам,"Есть много различных объединений, каждый найдет себе подходящее","Общежития у МИСИС одни из лучших в Москве и это не пустые слова-это правда. Уровень ремонта, администрации,удалённости от метро,доступности всех благ поблизости есть не у каждого вуза. У меня в общежитии 3 боталки, но в основном ребята занимаются у себя в комнатах",https://vk.com/chyrsins,
6/1/2023 18:19:07,Москва / область,НИТУ МИСИС,2,Инмин ,22.03.01 Материаловедение и технологии материалов,"+- 3 пары в день, 3 экзамена в сессию (можно автоматами  закрыть), нагрузка норм ",5,4,,"Английский до 4 курса, в конце сдаём IELTS (до прошлого года сдавали, он ушёл из рф)
1-2 курс 3 раза в неделю 
3 курс 2 раза в неделю 

Происходит распреедеоние по уровням разговора, преподы крутые ",5,"У меня был 1 сем ток, в целом хорошо, есть доп курсы ",5,Да,После 2 курса выбираешь кафедру более углублённо ,"Есть много различных объединений, каждый найдет себе подходящее","Зависит от института в который поступишь, все общаги (кроме горного института - коридорный) блочного типа, тараканов не особо много, метро магазины рядом, до центра самое большое 40 мин, кухни норм, есть боталки на нескольких этажах",,
,,НИТУ МИСИС,2,Институт компьютерных наук,09.03.01 Информатика и вычислительная техника,"Экзаменов обычно 4, почти по всем можно получить автомат, зачеты ставятся исходя из баллов, заработанных за семестр. Много английского, но несложно",4,5,Несправедливые автоматы,"Английский изучается 7 семестров, много возможности тренировать говорение, преподаватели каждый семестр одинаковые",5,"Программирование на высоком уровне, языке разные в зависимости от направления (питон, шарпы, плюсы), так есть штмл джава ",5,Да,После первого и после второго ,Не интересовался (-лась),,,
6/1/2023 18:12:47,Москва / область,НИТУ МИСИС,1,Институт новых материалов,28.03.01 Нанотехнологии и микросистемная техника,"Нагрузка средняя. Довольно легко совмещать с работой и другими занятиями. Домашки не много. Есть межсеместровая аттестация, когда есть идз и контрольные, а остальное время работ на проверку поменьше ",4,4,- не хватает практики по физике во втором семестре  (зависит от препода) ,"Английский крутой. Каждый семестр у вас будет меняться преподаватель и группа, чтобы вы практиковались с другими ребятами. Плюс в самом начале всех разбиваеют на уровни. Кто-то попадает на начальный,а кто-то на продвинутый в зависимости  от результата тестирования. Опять же многое зависит от препода, в первом семесетре у нас было много творческих заданий, сейчас же мы больше идём по учебнику. ",5,"Програмируем на питоне, лектор странный, но практика хорошая. +хорошая методичка. Я абсолютно с нуля освоила базовые знания по питону. ",4,Да,После второго,"Есть много различных объединений, каждый найдет себе подходящее","Металлург 3. Боталов могло бы быть и больше, а так всё хорошо. Блочный тип, общагу всем дают, если не из Москвы", vk.com/dmyrzagalieva,
4/14/2025 16:20:38,Москва / область,НИТУ МИСИС,1,Институт экономики и управления,38.03.02 Менеджмент,,4,4,,,4,,3,Да,,"Есть много различных объединений, каждый найдет себе подходящее",,"https://vk.com/mwkix
тг @mwkix",
4/20/2025 23:58:48,Москва / область,НИТУ МИСИС,1,Институт компьютерных наук,09.03.01 Информатика и вычислительная техника,"В день по 3-4 пары, в среднем пар 15 в неделю, больше всего дз по матану, программированию ",4,5,"Преподы по предметам, которые по сути не нужны для специальности, много самообразования ","Группы по английскому распределены по уровню языка, перед этим проходили тестирование на его определение. Можно помимо английского изучать по делают другие языки
Качество преподавания зависит от самого препода, который меняется каждый семестр, в целом 4/5",4,"В качестве языка у нас с# , изучали с нуля , попался хороший препод, поэтому жестко прогаю (учусь на программиста )",5,Да,"После первого курса выбираем направление, тк на первом учимся по сути на одном все, а после второго выбираем образовательный трек (более узкое направление )",Не интересовался (-лась),"Живу в студгородке горняк 2, условия хорошие, блок на две комнаты, первый курс живет втроем, в дальнейшем есть возможность поселиться вдвоем, на 16 этажей есть 2 болталки, условия отличные, просторное место ",,Физика
4/21/2025 1:19:48,Москва / область,НИТУ МИСИС,4,Институт новых материалов,22.03.01 Материаловедение и технологии материалов,"Довольно большая нагрузка, которая уменьшается только к концу 4-го курса. Устроиться на работу параллельно с учебой (без ущерба учебе) - не вариант. В среднем на сессии 3-4 экзамена + 2-3 зачета с оценкой.",4,4,"- Некоторые преподаватели отвлекаются на занятии.
- Есть преподы, которые валят так, как будто их предмет самый важный и сложный (нет).
- Большая нагрузка на последних курсах => не получается устроиться на работу.","Английскому учат хорошо. В конце сдаем экзамен, который похож на IELTS (только МИСИСовская версия). Профильный английский (технический), насколько я знаю, вроде есть в магистратуре. Я изучаю только английский, но в универе есть доп курсы по китайскому языку (платные). Если поступать на гум специальность, то, наверное, есть языки по выбору ",5,"У нас была информатика (программирование) вроде только на 1-м курсе. Нам попался преподаватель-семинарист, который поделил нас на 2 подгруппы (знающие хоть что-то и нулевые) и давал материал, опираясь на знания студентов в этих подгруппах. Но тут все зависит от препода. Следующий был такой, что ему было все равно: понимаешь ты или нет. Лекции всем читали одни и те же. Меня учили на С#, но сейчас вроде тех, кто младше, учат еще на Python, насколько мне известно",4,Да,В конце 2 курса выбираем кафедру,"Есть много различных объединений, каждый найдет себе подходящее","Общежитие дают всем иногородним. Условия довольно хорошие. Прожила в общежитии Металлург-4 (М-4) 4 года и ни о чем не жалею :). Есть одна ""боталка"" (обычно там средняя загруженность).",,Физика
6/2/2023 18:23:22,Москва / область,НИУ ВШЭ (Москва),1,МИЭМ ,09.03.02 Информационные системы и технологии,"4 сессии, в двух из них по 5 предметов, в остальных норм 
В неделю 11-14 пар",5,5,,5,5,3,4,Да,2,"Есть много различных объединений, каждый найдет себе подходящее","Все прекрасно, два коворка, хороший ремонт, ставлю 5",,
,,НИУ ВШЭ (Москва),1,Московский институт электроники и математики,11.03.02 Инфокоммуникационные технологии и системы связи,"Пар 3-4 в день, пока хватает времени на работу",5,5,,Довольно высокий,5,"Ой, с этим на нашей образовательной программе не очень, изучаем питон, си",3,Нет,,"Есть много различных объединений, каждый найдет себе подходящее",,https://vk.com/dimidrol2811,
"45078,77345",Москва / область,НИУ ВШЭ (Москва),1,Московский Институт Электроники и Математики,11.03.02 Инфокоммуникационные технологии и системы связи,Пар в неделю зависит от ситуации : в среднем от 12-14. Больше всего дз по мат.анализу и линейной алгебре. Экзаменов примерно 7 шт. (если не учитывать разновидности английского),4,3,хотелось бы чтобы на программировании были контесты ,"Английский сильный, в не зависимости от выбранного уровня изучения(поэтому приходится учиться), оцениваю на 4 ",4,"На моем направлении нет большого уклона в программирование, но на других этого полно. А так, мы изучаем: Си, Си++,Питон. Если учитывать что это не совсем наш профиль, то можно поставить 4",4,Да,Распределение происходит после 2 курса(выбор трека),"Есть много различных объединений, каждый найдет себе подходящее",,https://vk.com/dildjik,
,,НИУ ВШЭ (Москва),2,Московский институт математики и электроники,11.03.02 Инфокоммуникационные технологии и системы связи,"Именно на моей образовательной программе не очень много дней с очными парами, обычно 3-4. Но есть день майнора (онлайн пары по средам). Экзаменов около 3-4 в среднем на сессии, однако есть автоматы, так что, ходите на пары, друзья, и дружите с преподами",5,5,Цены в столовке,Очень хороший. Уже на втором курсе вполне по силам сдать международный экзамен ,5,"У меня его почти что нет. Только на первом курсе изучали Python. Однако я бы не сказал, что это недостаток, потому что я шел намеренно на ИТСС, так как не очень люблю программировать",3,Да,Происходит с 3. Это так называемые треки (иду на клановую физику),"Есть много различных объединений, каждый найдет себе подходящее",Не в общаге(,https://vk.com/dimidrolo4,
4/14/2025 15:53:11,Москва / область,НИУ ВШЭ (Москва),1,МИЭМ,11.03.02 Инфокоммуникационные технологии и системы связи,"Пар обычно в день 3-4 около 4-5 раз в неделю. Нагрузка не прям большая, может быть временами бывает тяжело, остается свободное время. Экзаменов на первом курсе не прям много, не считая летней сессии, вот на ней придётся попотеть.",3,3,"1) в вузе тебя никто ничему не учит, хочешь в чем-то разобраться - делай это сам 
2) иногда могут попадаться вредные преподаватели 
3) ты априори должен знать английский язык на хорошем уровне, а также желательно программирование 
4) вуз долго разбирается с твоими документами ","В ВШЭ отводится отдельное место английскому языку. Даже, если ты учишься на техническом направлении, ты обязан его сдать в конце года. В течении года, ты можешь взять факультатив, но если у тебя уровень А1-А2 тебе это не особо поможет. Выкручивайся, как хочешь. Экзамен в конце года уровня плюс-минус В2-С1",1,"Программированию тебя никто не научит, ищешь сам курсики и изучаешь. Однако на лабах требуется уже достаточно хороший уровень программирования. Если повезёт с преподавателем, то просто об этом забудешь, но если попадётся дотошный, то придётся попотеть.",2,Да,"На третьем курсе, после второго курса.","Есть много различных объединений, каждый найдет себе подходящее",,"В целом ИТСС направление во ВШЭ чил, дающий тебе свободу и личное время. Однако временами и тут бывает тяжело. Есть хорошие преподаватели, которые могут заинтересовать тебя и ты будешь с удовольствием изучать предмет, но бывает и противоположный случай.",
4/14/2025 16:16:12,Москва / область,НИУ ВШЭ (Москва),3,Московский институт математики и электроники имени Тихонова ,11.03.02 Инфокоммуникационные технологии и системы связи,"Пар сейчас из-за специализации стало меньше, но они стали сложнее в плане материала. В среднем их 2-3 в день. Всего 4 сессии, но основные из них летняя и зимняя, на них 3-4 экзамена, на осенней, весенней 1-2",4,4,нестабильность расписания и его неполнота на начало модулей ,"Английский язык очень хорошо преподается: есть возможность выбора уровня изучения, а так же после 3 курса все должны сдать экзамен в формате Ielts, так что, просто невозможно не знать язык ",5,"Именно на моей программе приходится их изучать самостоятельно, учились прогать на Питоне и С/С++. Однако опять же знать базу нужно, иначе будет тяжело ",3,Да,После 2 курса выбираются треки,"Есть много различных объединений, каждый найдет себе подходящее",живу в квартирке:),@dimidrolo4,
4/14/2025 16:25:41,Москва / область,НИУ ВШЭ (Москва),1,Московский институт электроники и математики,01.03.04 Прикладная математика,"пар в неделю может доходить от 18 до 23-24. задают дз по всем предметам абсолютно. сессия 4 раза в год (на зимней и летней около 7-10 экзаменов, из которых реально очень сложных 3-4, на весенней и осенней - 1-3, в основном лайтовые). зачетов нет. ",5,5,дальность общежития от вуза. количество пар в день и окна между ними (пар может быть 6-7). наличие непрофильных предметов (их мало). нагрузка сильная,"норм, сдаем экзамен по типу международного на 2-3 курсе, оценка за который идет в диплом. другой язык можно взять только за доп плату. пары по английскому можно взять по желанию, группы делятся на уровни.  5/5",5,"5/5. на 1 курсе - си и питон. на 2 курсе с++ и еще что-то, языков программирования в целом предостаточно за все обучение. для некоторых языков нужна база, но в целом объясняют как бы с нуля (но будет тяжело). ",5,Да,"вроде после 3, пока не углублялась, можно почитать на сайте образовательной программы","Есть много различных объединений, каждый найдет себе подходящее","общежитие 8 (трилистник). про боталки: у нас есть одна боталка с двумя комнатами и коворк от альфа ( в целом не часто там бываю, но там все ок). условия нормальные, не идеальные, общага квартирного типа, комендантский час отсутствует. ",@annetslx,
4/14/2025 16:33:21,Москва / область,НИУ ВШЭ (Москва),1,МИЭМ (Московский институт электроники и математики) ,01.03.04 Прикладная математика,"нагрузка большая: в среднем пар 4-5 в день. Задают везде одинаково, немного или вообще нет дз, но в качестве дз всегда сами разбираемся в пройденном материале доп к семинарам. Осень/весна - 2-3 экза, зимой было 9 экзов (основных 6), летом на 1ом курсе 12 (основных 7)",5,4,"-сейчас произошла смена учебного офиса, расписание не очень стало
-преподы очень жёстко и иногда несправедливо оценивают лабораторные работы","по английскому можно взять Факультатив на 1 и 2 курсе (зачастую все жалеют об этом), но в любом случае надо в конце первого курса сдать внутренний экз по английскому, а на 2 курсе независимый экз по типу ielts (можно перезачесть, если сдавали ранее), на 3 курсе есть предмет на английском, в конце 4 диплом на англ защищаем",3,"на первом курсе
ассемблер (сложно назвать программированием, но все-таки это оно)
 си
питон

на втором курсе
питон и си++

вроде норм уровень, спрашивают жёстко, поэтому точно научиться можно ",4,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","8 общага - ""Трилистник""
квартирный тип - квартиры 5-10 человек
зависит от комнаты и соседей, но в целом чисто, без тараканов
всегда можно попросить что-то починить и тд
также есть уборщицы, самостоятельно можно вызывать их в квартиру, недорого берут 
есть 2 коворка 
",в тг @evtyutova ,
4/14/2025 17:22:41,Москва / область,НИУ ВШЭ (Москва),1,Факультет социальных наук ,38.03.04 Государственное и муниципальное управление,"4 сессии, но на первом курсе фактически две. пар около 10 в неделю, включая 2 факультивных пары английского. много домашних работ, к каждому семинару нужно готовиться. можно поступить с базовым матаном, но на вышмате и тервере будет трудно тогда ",5,4,"есть своеобразные преподы (но и классных много) + нагрузка распределена неравномерно (есть один день завальный, при этом в неделю учишься 3-4 дня, есть завальные недели) ","дополнительно только платно, английский как факультатив, но к нему нужно относиться серьёзно (из-за него могут даже числануть). есть возможность выбрать английский по уровню, а также по направлению (академ, бизнес, коммуникативный). я на продвинутом бизнесе, мне нравится, интересно (но если вы очень хороши в английском, то, наверно, вы не будете расти, только поддерживать уровень). есть хорошие преподы. английский можно не выбирать, но экзамены по английскому все равно придётся сдавать всем ",5,"питон... для вас это будет шоком, если вы никогда это не изучали, придётся реально готовиться и изучать. но в целом реально не завалить, если хорошо потрудиться. курс с нуля, но подразумевает, что вы схватываете материал быстро. ",4,Нет,"я пока на 1 курсе, но не слышала вообще о таком ","Есть много различных объединений, каждый найдет себе подходящее","живу в съёмной кв по личным обстоятельствам, но в общагах в большинстве хорошие условия и активное общение (дубки йеееп). минус — далеко ехать ","@cherutochka пишите, я буду куратором у первашей 2025 года, с радостью отвечу ",
4/15/2025 14:22:59,Москва / область,НИУ ВШЭ (Москва),1,Высшая школа бизнеса,38.03.02 Менеджмент,"Нагрузка неравномерная, в каждый модуль она разная. Может быть 5-6 пар в неделю, а может быть и 20. Экзаменов на зимней и летней сессии около 8, на осенней и весенней обычно до 5, но чаще 1-3. Обязательных домашек (таких, как все привыкли воспринимать) у нас нет, все под нашу ответственность. Но и без этого по многим предметам есть обязательные эссе, проекты и другие типы заданий. Не могу сказать, что какие предметы в отдельности казались сложными, все вполне в порядке вещей. Сложности возникают в моменте из совмещения (4 групповых проекта одновременно вести довольно неприятно).",4,5,"1. Разумеется, расписание. Никогда не знаешь, чего ожидать на следующей неделе (посмотреть, конечно, можно, но предсказать нельзя🙃), а тем более в следующем модуле. В 3-ем по 6 пар в неделю, а в 4-ом столько может быть в день. + ездить на 1 пару в день, которую нельзя пропустить, становится нормой.
2. Есть предметы, по которым просто непонятно, как готовиться к экзаменам, лекции по ним просто неинформативные, а семинаров нет, то есть вообще не знаешь, откуда черпать информацию для подготовки.

Может ещё что-нибудь смогу выделить, но эти 2 прям ножом по сердцу…","У меня самого подтвержденный C1. в вшб нет обязательного изучения языка (на русскоязычных программах). Но на 1 и 3 курсе есть обязательные экзамены по английскому для всех студентов. Для тех, кто хочет изучать английский, есть факультативы. Они делятся по уровням (базовый, основной, продвинутый) и направлениям (general, для деловых коммуникаций, бизнесовый). Я взял продвинутый бизнесовый и остался очень доволен. Но тут все зависит от препода",5,"Проги пока нет, на 2 курсе все пишут независимый экзамен по питону, поэтому прога начнется только на 2 курсе. Она не будет углубленной. Если есть желание изучать прогу, можно взять соответствующий майнор",,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","В общежитии не жил, но очень много друзей живет, поэтому об общажной жизни знаю много)",Тг: @hahar11nnn,
4/15/2025 16:50:44,Москва / область,НИУ ВШЭ (Москва),1,Московский институт электроники и математики,11.03.02 Инфокоммуникационные технологии и системы связи,"14-19. В первом семестре было 11 пар. Задают  мало и зачастую не проверяют. В вышке 4 сессии, но осенью и весной мало экзаменов (осенью у меня было 0, а весной 1). На основные сессии около 5-8 экзаменов",3,2,"Слабые преподы, которым всё равно на учеников;
Группа, которая не вывозит сильных преподов, поэтому сильные преподы отказываются от группы; 
Бесполезные предметы, которые занимают много времени","В вышке есть обязательные экзамены по английскому после 1 и после 2 курса. Поэтому она предлагает факультативы по языку. Он не технический, но можно выбрать или академическтй, или разговорный.
 В начале года уровень был А2. Хочу верить, что сейчас я ближе к В1, чем к А2",5,"C, C++, Python. Специфики языка не дают, только алгоритмы",2,Да,После второго,Не интересовался (-лась),"Общага чудесная. Квартирный тип, досуговая, боталка (от Альфа-банка кст), до мск ехать 20 минут, но это только плюс",@lzavr,Информатика
,,НИУ ВШЭ (Москва),3,Факультет физики,03.03.02 Физика,"пар все меньше и меньше с каждым годом. но экзаменов очень много, нагрузка умеренная, надо учиться",4,5,,5,5,"только питон, 3",3,Да,"после 2 курса можно выбрать кафедру, я на кафедре квантовых технологий","Есть много различных объединений, каждый найдет себе подходящее","6, боталки есть и в общаге и в каждом корпусе, но я там не сижу :)",,
4/15/2025 17:02:53,Москва / область,НИУ ВШЭ (Москва),2,Факультет Социальных Наук,37.03.01 Психология,"Приблизительно 13-14 пар в неделю
Сильно перевернутая система обучения - то есть все учим дома - на семинарах задача понять и разобраться, что не поняли
В год 2-3 основных предмета, по которым идут лекции. Там основная нагрузка и риск не сдать. (на 1 курсе это Анатомия и Физиология ЦНС, психология мотивации и эмоций, история психологии, психология личности и индивидуальных различий). 
4 сессии в год, где весенняя и осенняя короткие - в среднем 2 экзамена по несложным предметам, чисто чтобы не расслаблялись. 
(по ощущениям, сама сессия легче месяца перед сессией) 
На зимней и летней сессии примерно 3 предмета сдаём + до сессии несколько контрольных. 
",5,5,"Люблю свою ОП всей душой и сердцем.
Но у нас есть английский как факультатив, но сдавать экзамен нужно будет всем. Не советую сами занятия. Большая часть преподов ведут не очень динамичные занятия и иногда переходят на личности","Чтобы сдать экз на 3 курсе нужен уровень В2. Факультативы что-то дают, но если у вас он А1-А2 срочно сами учим. Так как 1 час в неделю почти ничего не даёт, а на основных предметах читаем статьи на английском (можно пользоваться переводчиком, но базу англа все же лучше понимать) ",3,"Дают Питон, R.
Будет по ним экзамен.
По сути - статистическая обработка. Если нравится можно угубится, если нет - запомнить принцип и десяток формул и все - вы великолепны",5,Да,"С 3 курса мы делимся на 4 трека: консультативный, когнитивный, организационный и социальный. Конс у нас ведут практикующие психологи - супер вайб, класс, студенты-комфортики там
Когни. У нас несколько лабораторий, в которых можно начинать стажироваться с старших курсов. Ведут преподаватели-ученые, что очень вдохновляет. 
Организационный трек. Это будущие hr, работа в компаниях. Туда всех агитируют идти с первого курса.
Соц трек. Там обычно 10 человек учится, не самое популярное направление, поэтому много про него сложно сказать.
Распределение на когни, соц и орг просто написанием мотивационного письма. А на конс обычно больше желающих чем мест, поэтому вводят рейтинг и отсекающие предметы (если по ним оценка ниже 7/10, то выше шанс не попасть) ","Есть много различных объединений, каждый найдет себе подходящее","Смогу рассказать про альтернативное проживание, которое предлагает ВШЭ", https://vk.com/id315786520 @Marria_matv,Биология
